basin_cdec,cfs_cdec,cfs_usgs,county_cdec,data_collect_cdec,gage_oper_cdec,gelev_ft_cdec,group_cdec,hist_pkflow_usgs,id_cdec,id_nws,id_usgs,lat_cdec,lat_usgs,lon_cdec,lon_usgs,most_recent_cdec,most_recent_usgs,name_cdec,name_usgs,nearby_cty_cdec,nwsfloodstg_ft_usgs,stage_ft_usgs,state_usgs
NA,NA,0.98,NA,NA,NA,NA,NA,1890,NA,NA,14201300,NA,45.10039816,NA,-122.8217596,NA,2019-05-31T07:10:00Z,NA,"Zollner Creek Near Mt Angel, Or",NA,NA,4.29,or
NA,NA,188,NA,NA,NA,NA,NA,20800,NA,PUWO3,14201340,NA,45.15123137,NA,-122.80426,NA,2019-05-31T07:00:00Z,NA,"Pudding River Near Woodburn, Or",NA,29.2,6.42,or
NA,NA,47.6,NA,NA,NA,NA,NA,7310,NA,BUMO3,14201500,NA,45.1015099,NA,-122.7462019,NA,2019-05-31T07:00:00Z,NA,"Butte Creek At Monitor, Or",NA,14,6,or
NA,NA,332,NA,NA,NA,NA,NA,43700,NA,AURO3,14202000,NA,45.23317586,NA,-122.7500933,NA,2019-05-31T06:45:00Z,NA,"Pudding River At Aurora, Or",NA,22,6.67,or
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14202630,NA,45.4401722,NA,-123.1251806,NA,2019-05-31T07:00:00Z,NA,"Wapato Canal At Pump House, At Gaston, Or",NA,NA,1.83,or
NA,NA,147,NA,NA,NA,NA,NA,2210,NA,NA,14202980,NA,45.46927968,NA,-123.200109,NA,2006-09-30T23:45:00Z,NA,"Scoggins Ck Blw Henry Hagg Lake, Nr Gaston, Or",NA,NA,NA,or
NA,NA,91.2,NA,NA,NA,NA,NA,17100,NA,DLLO3,14203500,NA,45.4748365,NA,-123.124274,NA,2019-05-31T07:00:00Z,NA,"Tualatin River Near Dilley, Or",NA,17.5,9.49,or
NA,NA,30.6,NA,NA,NA,NA,NA,2000,NA,NA,14205400,NA,45.68233568,NA,-123.069553,NA,2019-05-31T05:00:00Z,NA,"East Fork Dairy Creek Near Meacham Corner, Or",NA,NA,4.22,or
NA,NA,0.12,NA,NA,NA,NA,NA,733,NA,FNNO3,14206900,NA,45.4878958,NA,-122.7348194,NA,2019-05-31T07:05:00Z,NA,"Fanno Creek At 56th Ave, At Portland, Or",NA,11.1,8.53,or
NA,NA,7.5,NA,NA,NA,NA,NA,1680,NA,DURO3,14206950,NA,45.403452,NA,-122.7548185,NA,2019-05-31T07:45:00Z,NA,"Fanno Creek At Durham, Or",NA,9.1,2.02,or
NA,NA,310,NA,NA,NA,NA,NA,26400,NA,WSLO3,14207500,NA,45.35067559,NA,-122.6762044,NA,2019-05-31T07:00:00Z,NA,"Tualatin River At West Linn, Or",NA,13.5,3.16,or
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OCUO3,14207740,NA,45.348454,NA,-122.6200918,NA,2019-05-31T07:30:00Z,NA,"Willamette River Above Falls, At Oregon City, Or",NA,64,54.51,or
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ORCO3,14207770,NA,45.35762066,NA,-122.610925,NA,2019-05-31T07:15:00Z,NA,"Willamette River Below Falls, At Oregon City, Or",NA,27,9.82,or
NA,NA,92.8,NA,NA,NA,NA,NA,2110,NA,OGCO3,14208700,NA,45.11373009,NA,-121.8150775,NA,2019-05-31T07:00:00Z,NA,"Oak Grove Fork Near Government Camp, Or",NA,NA,1.74,or
